Location,Year,Model,Surface Temperature,Middle Temperature,Bottom Temperature,pH,Ammonia,Nitrate,Phosphate,Dissolved Oxygen,WQI,WQI_Status,Ammonia_Level,Nitrate_Level,Phosphate_Level
MANALAW,Year 2,CNN-LSTM,0.41028294,0.587044,0.27471104,0.3466,0.01239948,0.10213397,0.5165051,0.26724714,73.17559060627053,Poor,Low,Low,High
MANALAW,Year 3,CNN,0.4506188,0.63530135,0.38232043,0.3273288,0.078564405,0.10990442,0.4411027,0.26401415,63.38084117163285,Poor,Low,Low,Moderate
MANALAW,Year 3,LSTM,0.4158023,0.6124724,0.32524422,0.2816979,0.04837507,0.07810993,0.5094824,0.26483253,73.17519600851207,Poor,Low,Low,High
MANALAW,Year 3,CNN-LSTM,0.43146297,0.6245068,0.30474404,0.33402804,0.017018279,0.1050754,0.50876105,0.26311237,73.17563891961353,Poor,Low,Low,High
SAN ISIDRO,Year 1,CNN,0.35176885,0.6577918,0.34324753,0.74047035,0.033749368,0.10476114,0.6950156,0.40742174,73.17563375785507,Poor,Low,Low,High
SAN ISIDRO,Year 1,LSTM,0.3898518,0.62632704,0.3191759,0.7089593,0.025803918,0.07272212,0.6782799,0.40028006,73.17510751308212,Poor,Low,Low,High
SAN ISIDRO,Year 1,CNN-LSTM,0.38451728,0.60579294,0.33279547,0.7548066,0.01677499,0.09991018,0.6605437,0.41428676,73.1755540802512,Poor,Low,Low,High
SAN ISIDRO,Year 2,CNN,0.3758891,0.6562637,0.40296808,0.71646583,0.011239887,0.09032709,0.7092267,0.35164672,73.17539667684058,Poor,Low,Low,High
SAN ISIDRO,Year 2,LSTM,0.3742363,0.6224978,0.3272803,0.71698904,0.029044317,0.07932572,0.69156814,0.39929274,73.17521597800966,Poor,Low,Low,High
SAN ISIDRO,Year 2,CNN-LSTM,0.40023342,0.6192892,0.33691838,0.7501883,0.02263406,0.093777634,0.66292375,0.40341407,73.17545335244252,Poor,Low,Low,High
SAN ISIDRO,Year 3,CNN,0.33591756,0.64655036,0.36694297,0.7216539,-0.0075855805,0.104984164,0.6868594,0.338364,73.1756374210512,Poor,Low,Low,High
SAN ISIDRO,Year 3,LSTM,0.36891034,0.62679577,0.34170115,0.72538376,0.03012395,0.08358599,0.6989772,0.38905612,73.17528595345894,Poor,Low,Low,High
SAN ISIDRO,Year 3,CNN-LSTM,0.3917476,0.6243693,0.34361678,0.7414466,0.018127963,0.098742165,0.66415006,0.41527078,73.17553489546377,Poor,Low,Low,High
LEVISTE,Year 1,CNN,0.454835,0.49997652,0.37557822,0.085226595,0.059904158,0.045707732,0.5059281,0.21947429,73.17466379849662,Poor,Low,Low,High
LEVISTE,Year 1,LSTM,0.47606638,0.6172124,0.32827765,0.1321582,0.052642845,0.09159935,0.4411835,0.2334769,63.39397789995169,Poor,Low,Low,Moderate
LEVISTE,Year 1,CNN-LSTM,0.42455277,0.5774641,0.25515264,0.20636259,-0.0025516208,0.15378666,0.48222744,0.24419679,70.22078500794203,Poor,Low,Low,Moderate
LEVISTE,Year 2,CNN,0.40091443,0.5954604,0.35363564,0.06828356,0.104891375,0.35816154,0.5670342,0.27725768,73.17979589002898,Poor,Low,Low,High
LEVISTE,Year 2,LSTM,0.4688684,0.6093056,0.30787992,0.13213798,0.05456789,0.0847389,0.44639933,0.22262749,64.26128042275361,Poor,Low,Low,Moderate
LEVISTE,Year 2,CNN-LSTM,0.4322492,0.5838873,0.27774736,0.21675567,-0.0010024998,0.09990522,0.50587505,0.27045813,73.1755539987826,Poor,Low,Low,High
LEVISTE,Year 3,CNN,0.41139835,0.5668628,0.3668702,0.1905401,-0.0071615065,0.054233752,0.2677314,0.24423212,34.547525795926575,Good,Low,Low,Moderate
